,MONTH,PORTFOLIO
114,7.1988,62156.696609274084
115,8.1988,60260.623562702625
116,9.1988,62537.4843150765
117,10.1988,65224.86569759312
118,11.1988,65014.140870216725
119,12.1988,65855.868842009
120,1.1989,71101.92445599799
121,2.1989,71716.42395289513
122,3.1989,71919.0534033837
123,4.1989,74161.94330759613
124,5.1989,75629.29151155532
125,6.1989,76306.27114124848
126,7.1989,81384.24947519555
127,8.1989,80832.06285189313
128,9.1989,84554.27278627381
129,10.1989,78871.96697267838
130,11.1989,81019.8006230189
131,12.1989,80372.37369126527
132,1.199,74592.50663275403
133,2.199,70658.7523124133
134,3.199,67758.6894817463
135,4.199,66123.37984175279
136,5.199,72036.95527706847
137,6.199,72190.68478580893
138,7.199,70842.88430408672
139,8.199,61634.220942541484
140,9.199,55460.11478382194
141,10.199,59013.51918048309
142,11.199,57097.58970452634
143,12.199,59148.73043445111
144,1.1991,61626.87263339522
145,2.1991,66356.49343702041
146,3.1991,70248.77351427032
147,4.1991,74719.94767756034
148,5.1991,77595.7997514387
149,6.1991,75713.8050160221
150,7.1991,79545.26114975684
151,8.1991,77740.27246534322
152,9.1991,77758.2945391066
153,10.1991,79085.77327063333
154,11.1991,73033.86407319337
155,12.1991,76020.49704591908
156,1.1992,75325.04715384415
157,2.1992,75836.29811308987
158,3.1992,74386.28394891728
159,4.1992,74918.30235755075
160,5.1992,76576.44172995302
161,6.1992,72107.73850202872
162,7.1992,69058.9006920915
163,8.1992,69135.06660216291
164,9.1992,70254.75881137681
165,10.1992,71365.38198161063
166,11.1992,77528.16808889281
167,12.1992,78277.08475511236
168,1.1993,80236.56640553054
169,2.1993,84330.82740083734
170,3.1993,89797.2773399652
171,4.1993,90933.28169955574
172,5.1993,93419.97801206434
173,6.1993,95503.8060601843
174,7.1993,101741.10218245462
175,8.1993,107360.22516581065
176,9.1993,101400.77967509866
177,10.1993,105569.98739983088
178,11.1993,102469.3989797758
179,12.1993,107581.23001621652
180,1.1994,116355.79135205969
181,2.1994,114595.41138779148
182,3.1994,107606.06902478298
183,4.1994,111408.39281861158
184,5.1994,109484.4721112273
185,6.1994,107598.00322315162
186,7.1994,106451.39417524223
187,8.1994,109940.23852544639
188,9.1994,106108.1242754793
189,10.1994,107213.75700372813
190,11.1994,104287.87488674647
191,12.1994,107608.45893834143
192,1.1995,104029.64989463723
