MONTH,UNRATE
06.2001,450000.0
07.2001,459999.99999999994
08.2001,490000.00000000006
09.2001,500000.0
10.2001,530000.0
11.2001,550000.0
12.2001,570000.0
01.2002,570000.0
02.2002,570000.0
03.2002,570000.0
04.2002,590000.0
05.2002,580000.0
06.2002,580000.0
07.2002,580000.0
08.2002,570000.0
09.2002,570000.0
10.2002,570000.0
11.2002,590000.0
12.2002,600000.0
01.2003,580000.0
02.2003,590000.0
03.2003,590000.0
04.2003,600000.0
05.2003,610000.0
06.2003,630000.0
07.2003,620000.0
08.2003,610000.0
09.2003,610000.0
10.2003,600000.0
11.2003,580000.0
12.2003,570000.0
01.2004,570000.0
02.2004,560000.0
03.2004,580000.0
04.2004,560000.0
05.2004,560000.0
06.2004,560000.0
07.2004,550000.0
08.2004,540000.0
09.2004,540000.0
10.2004,550000.0
11.2004,540000.0
12.2004,540000.0
01.2005,530000.0
02.2005,540000.0
03.2005,520000.0
04.2005,520000.0
05.2005,509999.99999999994
06.2005,500000.0
07.2005,500000.0
08.2005,490000.00000000006
09.2005,500000.0
10.2005,500000.0
11.2005,500000.0
12.2005,490000.00000000006
01.2006,470000.0
02.2006,480000.0
03.2006,470000.0
04.2006,470000.0
05.2006,459999.99999999994
06.2006,459999.99999999994
07.2006,470000.0
08.2006,470000.0
09.2006,450000.0
10.2006,440000.00000000006
11.2006,450000.0
12.2006,440000.00000000006
01.2007,459999.99999999994
02.2007,450000.0
03.2007,440000.00000000006
04.2007,450000.0
05.2007,440000.00000000006
06.2007,459999.99999999994
07.2007,470000.0
08.2007,459999.99999999994
09.2007,470000.0
10.2007,470000.0
11.2007,470000.0
12.2007,500000.0
01.2008,500000.0
02.2008,490000.00000000006
03.2008,509999.99999999994
04.2008,500000.0
05.2008,540000.0
06.2008,560000.0
07.2008,580000.0
08.2008,610000.0
09.2008,610000.0
10.2008,650000.0
11.2008,680000.0
12.2008,730000.0
01.2009,780000.0
02.2009,830000.0000000001
03.2009,869999.9999999999
04.2009,900000.0
05.2009,940000.0
06.2009,950000.0
07.2009,950000.0
08.2009,960000.0
09.2009,980000.0000000001
10.2009,1000000.0
11.2009,990000.0
12.2009,990000.0
01.2010,980000.0000000001
02.2010,980000.0000000001
03.2010,990000.0
04.2010,990000.0
05.2010,960000.0
06.2010,940000.0
07.2010,940000.0
08.2010,950000.0
09.2010,950000.0
10.2010,940000.0
11.2010,980000.0000000001
12.2010,930000.0000000001
01.2011,910000.0
02.2011,900000.0
03.2011,900000.0
04.2011,910000.0
05.2011,900000.0
06.2011,910000.0
07.2011,900000.0
08.2011,900000.0
09.2011,900000.0
10.2011,880000.0000000001
11.2011,860000.0
12.2011,850000.0
01.2012,830000.0000000001
02.2012,830000.0000000001
03.2012,819999.9999999999
04.2012,819999.9999999999
05.2012,819999.9999999999
06.2012,819999.9999999999
07.2012,819999.9999999999
08.2012,810000.0
09.2012,780000.0
10.2012,780000.0
11.2012,770000.0
12.2012,790000.0
01.2013,800000.0
02.2013,770000.0
03.2013,750000.0
04.2013,760000.0
05.2013,750000.0
06.2013,750000.0
07.2013,730000.0
08.2013,720000.0
09.2013,720000.0
10.2013,720000.0
11.2013,690000.0
12.2013,670000.0
01.2014,660000.0
02.2014,670000.0
03.2014,670000.0
04.2014,620000.0
05.2014,630000.0
06.2014,610000.0
07.2014,620000.0
08.2014,610000.0
09.2014,590000.0
10.2014,570000.0
11.2014,580000.0
12.2014,560000.0
01.2015,570000.0
02.2015,550000.0
03.2015,540000.0
04.2015,540000.0
05.2015,560000.0
06.2015,530000.0
07.2015,520000.0
08.2015,509999.99999999994
09.2015,500000.0
10.2015,500000.0
11.2015,509999.99999999994
12.2015,500000.0
01.2016,480000.0
02.2016,490000.00000000006
03.2016,500000.0
04.2016,509999.99999999994
05.2016,480000.0
06.2016,490000.00000000006
07.2016,480000.0
08.2016,490000.00000000006
09.2016,500000.0
10.2016,490000.00000000006
11.2016,470000.0
12.2016,470000.0
01.2017,470000.0
02.2017,459999.99999999994
03.2017,440000.00000000006
04.2017,440000.00000000006
05.2017,440000.00000000006
06.2017,430000.0
07.2017,430000.0
08.2017,440000.00000000006
09.2017,430000.0
10.2017,420000.0
11.2017,420000.0
12.2017,409999.99999999994
01.2018,400000.0
02.2018,409999.99999999994
03.2018,400000.0
04.2018,400000.0
05.2018,380000.0
06.2018,400000.0
07.2018,380000.0
08.2018,380000.0
09.2018,370000.0
10.2018,380000.0
11.2018,380000.0
12.2018,390000.0
01.2019,400000.0
02.2019,380000.0
03.2019,380000.0
04.2019,370000.0
05.2019,360000.0
06.2019,360000.0
07.2019,370000.0
08.2019,360000.0
09.2019,350000.0
10.2019,360000.0
11.2019,360000.0
12.2019,360000.0
01.2020,360000.0
02.2020,350000.0
03.2020,440000.00000000006
04.2020,1480000.0
05.2020,1320000.0
06.2020,1100000.0
07.2020,1019999.9999999999
08.2020,840000.0
09.2020,780000.0
10.2020,690000.0
11.2020,670000.0
12.2020,670000.0
01.2021,640000.0
02.2021,620000.0
03.2021,610000.0
04.2021,610000.0
05.2021,580000.0
06.2021,590000.0
07.2021,540000.0
08.2021,509999.99999999994
09.2021,470000.0
10.2021,450000.0
11.2021,409999.99999999994
12.2021,390000.0
01.2022,400000.0
02.2022,390000.0
03.2022,370000.0
04.2022,370000.0
05.2022,360000.0
06.2022,360000.0
07.2022,350000.0
08.2022,360000.0
09.2022,350000.0
10.2022,360000.0
11.2022,360000.0
12.2022,350000.0
01.2023,350000.0
02.2023,360000.0
03.2023,350000.0
04.2023,340000.0
05.2023,360000.0
06.2023,360000.0
07.2023,350000.0
08.2023,370000.0
09.2023,370000.0
10.2023,390000.0
11.2023,370000.0
12.2023,380000.0
01.2024,370000.0
