,MONTH,MSCI World,STRAT1-0.0,STRAT1-0.01,STRAT1-0.02,STRAT1-0.03,STRAT1-0.04,STRAT1-0.05,STRAT1-0.06,STRAT1-0.07,STRAT1-0.08,STRAT1-0.09
37,2.1982,16385.868405302343,9654.493574127311,9654.493574127311,9654.493574127311,9654.493574127311,9654.493574127311,9654.493574127311,9654.493574127311,9654.493574127311,9654.493574127311,9654.493574127311
38,3.1982,16227.944726131596,9761.445521497819,9761.445521497819,9761.445521497819,9761.445521497819,9761.445521497819,9761.445521497819,9761.445521497819,9761.445521497819,9761.445521497819,9761.445521497819
39,4.1982,17285.722889362583,10597.721038112219,10597.721038112219,10597.721038112219,10597.721038112219,10597.721038112219,10597.721038112219,10597.721038112219,10597.721038112219,10597.721038112219,10597.721038112219
40,5.1982,16273.17833573479,10176.939090681446,10176.939090681446,10176.939090681446,10176.939090681446,10176.939090681446,10176.939090681446,10176.939090681446,10176.939090681446,10176.939090681446,10176.939090681446
41,6.1982,16438.284350643284,10480.193281261974,10480.193281261974,10480.193281261974,10480.193281261974,10480.193281261974,10480.193281261974,10480.193281261974,10480.193281261974,10480.193281261974,10480.193281261974
42,7.1982,16573.143717930932,10766.17258450404,10766.17258450404,10766.17258450404,10766.17258450404,10766.17258450404,10766.17258450404,10766.17258450404,10766.17258450404,10766.17258450404,10766.17258450404
43,8.1982,17882.283764432374,11816.610372156301,11816.610372156301,11816.610372156301,11816.610372156301,11816.610372156301,11816.610372156301,11816.610372156301,11816.610372156301,11816.610372156301,11816.610372156301
44,9.1982,18131.556845189443,12181.329985734521,12181.329985734521,12181.329985734521,12181.329985734521,12181.329985734521,12181.329985734521,12181.329985734521,12181.329985734521,12181.329985734521,12181.329985734521
45,10.1982,19604.697884395795,13371.030829810768,13371.030829810768,13371.030829810768,13371.030829810768,13371.030829810768,13371.030829810768,13371.030829810768,13371.030829810768,13371.030829810768,13371.030829810768
46,11.1982,20986.4713664931,14513.444527684873,14513.444527684873,14513.444527684873,14513.444527684873,14513.444527684873,14513.444527684873,14513.444527684873,14513.444527684873,14513.444527684873,14513.444527684873
47,12.1982,21023.74673104958,14739.222750535782,14739.222750535782,14739.222750535782,14739.222750535782,14739.222750535782,14739.222750535782,14739.222750535782,14739.222750535782,14739.222750535782,14739.222750535782
48,1.1983,21318.75432102388,15146.045189816225,15146.045189816225,15146.045189816225,15146.045189816225,15146.045189816225,15146.045189816225,15146.045189816225,15146.045189816225,15146.045189816225,15146.045189816225
49,2.1983,22163.51841819067,15946.213238931769,15946.213238931769,15946.213238931769,15946.213238931769,15946.213238931769,15946.213238931769,15946.213238931769,15946.213238931769,15946.213238931769,15946.213238931769
50,3.1983,23056.57870135659,16788.75245323343,16788.75245323343,16788.75245323343,16788.75245323343,16788.75245323343,16788.75245323343,16788.75245323343,16788.75245323343,16788.75245323343,16788.75245323343
51,4.1983,25056.054263461087,18444.679660962953,18444.679660962953,18444.679660962953,18444.679660962953,18444.679660962953,18444.679660962953,18444.679660962953,18444.679660962953,18444.679660962953,18444.679660962953
52,5.1983,24962.871570881693,18576.084466504133,18576.084466504133,18576.084466504133,18576.084466504133,18576.084466504133,18576.084466504133,18576.084466504133,18576.084466504133,18576.084466504133,18576.084466504133
53,6.1983,26533.10565275236,19944.57186805122,19944.57186805122,19944.57186805122,19944.57186805122,19944.57186805122,19944.57186805122,19944.57186805122,19944.57186805122,19944.57186805122,19944.57186805122
54,7.1983,26410.84284460705,20052.668590848876,20052.668590848876,20052.668590848876,20052.668590848876,20052.668590848876,20052.668590848876,20052.668590848876,20052.668590848876,20052.668590848876,20052.668590848876
55,8.1983,27411.097731117166,21012.12105753379,21012.12105753379,21012.12105753379,21012.12105753379,21012.12105753379,21012.12105753379,21012.12105753379,21012.12105753379,21012.12105753379,21012.12105753379
