,MONTH,MSCI World
0,1.1979,199.99999999999997
1,2.1979,397.1135131212485
2,3.1979,613.6344094322778
3,4.1979,819.5710056540589
4,5.1979,1014.2770708247899
5,6.1979,1231.4169066522713
6,7.1979,1396.220358602356
7,8.1979,1656.661043749998
8,9.1979,1875.552512768861
9,10.1979,1943.44950160323
10,11.1979,2195.0615147105673
11,12.1979,2403.1343448818216
12,1.198,2722.661930989682
13,2.198,2949.186436651733
14,3.198,2971.428982137781
15,4.198,3403.7519087543355
16,5.198,3616.5189134387074
17,6.198,3934.1526108752932
18,7.198,4204.561629037746
19,8.198,4571.587964933319
20,9.198,4897.5148899589085
21,10.198,5366.784456819186
22,11.198,5986.952803621698
23,12.198,6240.624167257635
24,1.1981,6276.923525614305
25,2.1981,6923.60068067274
26,3.1981,7374.129323708374
27,4.1981,7773.292419438408
28,5.1981,8286.633904124583
29,6.1981,8788.597758588576
30,7.1981,9102.850765898229
31,8.1981,9365.12982688243
32,9.1981,8467.381722322201
33,10.1981,8667.757198629408
34,11.1981,9411.39483160508
35,12.1981,9537.603912914463
36,1.1982,9740.258016434804
37,2.1982,9654.493574127311
38,3.1982,9761.445521497819
39,4.1982,10597.721038112219
40,5.1982,10176.939090681446
41,6.1982,10480.193281261974
42,7.1982,10766.17258450404
43,8.1982,11816.610372156301
44,9.1982,12181.329985734521
45,10.1982,13371.030829810768
46,11.1982,14513.444527684873
47,12.1982,14739.222750535782
48,1.1983,15146.045189816225
49,2.1983,15946.213238931769
50,3.1983,16788.75245323343
51,4.1983,18444.679660962953
52,5.1983,18576.084466504133
53,6.1983,19944.57186805122
54,7.1983,20052.668590848876
55,8.1983,21012.12105753379
56,9.1983,21649.180255708343
57,10.1983,21240.330785288123
58,11.1983,22569.292759241922
59,12.1983,23635.05732012951
60,1.1984,24563.43952671757
61,2.1984,23614.866834582794
62,3.1984,24042.882515918176
63,4.1984,24576.596826514364
64,5.1984,23775.609339900955
65,6.1984,24174.098801656804
66,7.1984,24401.533559017833
67,8.1984,27349.89917684447
68,9.1984,28730.799338672477
69,10.1984,29762.48885503356
70,11.1984,29072.19911834307
71,12.1984,31047.792033809797
72,1.1985,33756.14660075962
73,2.1985,35277.772429186254
74,3.1985,36779.78090418935
75,4.1985,34336.648418674966
76,5.1985,36548.044405010274
77,6.1985,36746.529338739594
78,7.1985,35870.373831783814
79,8.1985,35118.10686639134
80,9.1985,36148.35164368559
81,10.1985,35948.03510865082
82,11.1985,37418.26117587113
83,12.1985,38441.07282662615
84,1.1986,38399.62908778568
85,2.1986,40407.98126135913
86,3.1986,43329.10210122803
87,4.1986,44948.99326581173
88,5.1986,44233.11544597
89,6.1986,46387.80555337093
90,7.1986,45584.71880309625
91,8.1986,48275.66924303126
92,9.1986,46189.37810670757
93,10.1986,45086.643149455034
94,11.1986,47670.353618684574
95,12.1986,48123.917168627915
96,1.1987,50745.513406779755
97,2.1987,51688.529998358106
98,3.1987,54994.43319262336
99,4.1987,57655.47909480281
100,5.1987,57231.682737807496
101,6.1987,58418.50385069743
102,7.1987,60641.4873746053
103,8.1987,64918.78830644905
104,9.1987,62319.801138380244
105,10.1987,51556.2352094552
106,11.1987,47454.61881425788
107,12.1987,48197.89903920839
108,1.1988,50084.23817556639
109,2.1988,54713.409018165585
110,3.1988,55792.20948945562
111,4.1988,56348.69520893836
112,5.1988,55955.91220513264
113,6.1988,58143.34651747804
